mpg	cylinders	displacement	horsepower	weight	acceleration	model_year	origin	car_name
-1	8	304	193	4732	18.5	70	1	hi 1200d
-1	8	307	200	4376	15	70	1	chevy c20
-1	8	360	215	4615	14	70	1	ford f250
-1	8	318	210	4382	13.5	70	1	dodge d200
-1	8	350	180	3664	11	73	1	oldsmobile omega
-1	8	400	150	4997	14	73	1	chevrolet impala
-1	8	429	208	4633	11	72	1	mercury marquis
-1	8	350	160	4456	13.5	72	1	oldsmobile delta 88 royale
-1	8	350	180	4499	12.5	73	1	oldsmobile vista cruiser
-1	8	383	180	4955	11.5	71	1	dodge monaco (sw)
-1	8	400	167	4906	12.5	73	1	ford country
-1	8	429	198	4952	11.5	73	1	mercury marquis brougham
-1	8	455	225	4951	11	73	1	buick electra 225 custom
-1	8	302	129	3169	12	75	1	ford mustang ii
-1	8	302	130	3870	15	76	1	ford f108
-1	8	302	140	4294	16	72	1	ford gran torino (sw)
-1	8	307	130	4098	14	72	1	chevrolet chevelle concours (sw)
-1	8	318	150	3755	14	76	1	dodge d100
-1	8	318	150	3940	13.2	76	1	plymouth volare premier v8
-1	8	350	145	3988	13	73	1	chevrolet malibu
-1	8	350	145	4055	12	76	1	chevy c10
-1	8	350	150	4699	14.5	74	1	buick century luxus (sw)
-1	8	350	155	4502	13.5	72	1	buick lesabre custom
-1	8	350	165	4274	12	72	1	chevrolet impala
-1	8	350	175	4100	13	73	1	buick century 350
-1	8	351	158	4363	13	73	1	ford ltd
-1	8	360	170	4654	13	73	1	plymouth custom suburb
-1	8	360	175	3821	11	73	1	amc ambassador brougham
-1	8	400	150	4464	12	73	1	chevrolet caprice classic
-1	8	400	170	4746	12	71	1	ford country squire (sw)
-1	8	400	175	5140	12	71	1	pontiac safari (sw)
-1	8	400	190	4422	12.5	72	1	chrysler newport royal
-1	8	440	215	4735	11	73	1	chrysler new yorker brougham
-1	8	302	137	4042	14.5	73	1	ford gran torino
-1	8	302	140	4638	16	74	1	ford gran torino (sw)
-1	8	304	150	3672	11.5	73	1	amc matador
-1	8	304	150	4257	15.5	74	1	amc matador (sw)
-1	8	318	150	4077	14	72	1	plymouth satellite custom (sw)
-1	8	318	150	4096	13	71	1	plymouth fury iii
-1	8	318	150	4237	14.5	73	1	plymouth fury gran sedan
-1	8	318	150	4457	13.5	74	1	dodge coronet custom (sw)
-1	8	340	160	3609	8	70	1	plymouth 'cuda 340
-1	8	350	165	4209	12	71	1	chevrolet impala
-1	8	351	148	4657	13.5	75	1	ford ltd
-1	8	351	153	4129	13	72	1	ford galaxie 500
-1	8	351	153	4154	13.5	71	1	ford galaxie 500
-1	8	400	175	4385	12	72	1	pontiac catalina
-1	8	400	175	4464	11.5	71	1	pontiac catalina brougham
-1	8	440	215	4312	8.5	70	1	plymouth fury iii
-1	8	454	220	4354	9	70	1	chevrolet impala
-1	8	455	225	3086	10	70	1	buick estate wagon (sw)
-1	8	455	225	4425	10	70	1	pontiac catalina
-1	8	351	152	4215	12.8	76	1	ford gran torino
-1	6	250	100	3336	17	74	1	chevrolet nova
-1	6	250	720	3158	19.5	75	1	ford maverick
-1	6	250	720	3432	21	75	1	mercury monarch
-1	6	258	110	3730	19	75	1	amc matador
-1	8	302	130	4295	14.9	77	1	mercury cougar brougham
-1	8	304	150	3892	12.5	72	1	amc matador (sw)
-1	8	318	150	3399	11	73	1	dodge dart custom
-1	8	318	150	3777	12.5	73	1	dodge coronet custom
-1	8	318	150	4135	13.5	72	1	plymouth fury iii
-1	8	350	145	4082	13	73	1	chevrolet monte carlo s
-1	8	350	145	4440	14	75	1	chevrolet bel air
-1	8	350	165	3693	11.5	70	1	buick skylark 320
-1	8	383	170	3563	10	70	1	dodge challenger se
-1	8	390	190	3850	8.5	70	1	amc ambassador dpl
-1	8	400	150	3761	9.5	70	1	chevrolet monte carlo
-1	8	429	198	4341	10	70	1	ford galaxie 500
-1	8	304	120	3962	13.9	76	1	amc matador
-1	8	318	145	4140	13.7	77	1	dodge monaco brougham
-1	8	350	170	4165	11.4	77	1	chevrolet monte carlo landau
-1	8	351	142	4054	14.3	79	1	ford country squire (sw)
-1	8	400	190	4325	12.2	77	1	chrysler cordoba
-1	6	225	105	3439	15.5	71	1	plymouth satellite custom
-1	6	250	100	3278	18	73	1	chevrolet nova custom
-1	6	250	100	3781	17	74	1	chevrolet chevelle malibu classic
-1	6	250	105	3897	18.5	75	1	chevroelt chevelle malibu
-1	6	258	110	3632	18	74	1	amc matador
-1	8	302	140	4141	14	74	1	ford gran torino
-1	8	304	150	3433	12	70	1	amc rebel sst
-1	8	318	150	4190	13	76	1	dodge coronet brougham
-1	8	318	150	4498	14.5	75	1	plymouth grand fury
-1	8	351	149	4335	14.5	77	1	ford thunderbird
-1	8	400	170	4668	11.5	75	1	pontiac catalina
-1	8	400	180	4220	11.1	77	1	pontiac grand prix lj
-1	8	400	230	4278	9.50	73	1	pontiac grand prix
-1	6	163	133	3410	15.8	78	2	peugeot 604sl
-1	6	168	120	3820	16.7	76	2	mercedes-benz 280s
-1	8	350	180	4380	12.1	76	1	cadillac seville
-1	8	351	138	3955	13.2	79	1	mercury grand marquis
-1	8	350	155	4360	14.9	79	1	buick estate wagon (sw)
-1	6	163	125	3140	13.6	78	2	volvo 264gl
-1	6	231	110	3907	21	75	1	buick century
-1	6	250	100	3329	15.5	71	1	chevrolet chevelle malibu
-1	8	260	110	4060	19	77	1	oldsmobile cutlass supreme
-1	8	302	140	3449	10.5	70	1	ford torino
-1	8	304	150	3672	11.5	72	1	amc ambassador sst
-1	8	305	130	3840	15.4	79	1	chevrolet caprice classic
-1	6	250	110	3520	16.4	77	1	chevrolet concours
-1	6	258	950	3193	17.8	76	1	amc pacer d/l
-1	8	305	140	4215	13	76	1	chevrolet chevelle malibu classic
-1	8	305	145	3880	12.5	77	1	chevrolet caprice classic
-1	8	318	140	4080	13.7	78	1	dodge magnum xe
-1	6	225	850	3465	16.6	81	1	chrysler lebaron salon
-1	8	302	129	3725	13.4	79	1	ford ltd landau
-1	6	231	165	3445	13.4	78	1	buick regal sport coupe (turbo)
-1	3	700	900	2124	13.5	73	3	maxda rx3
-1	4	121	112	2933	14.5	72	2	volvo 145e (sw)
-1	6	171	970	2984	14.5	75	1	ford pinto
-1	6	199	970	2774	15.5	70	1	amc hornet
-1	6	225	105	3121	16.5	73	1	plymouth valiant
-1	6	225	105	3613	16.5	74	1	plymouth satellite sebring
-1	6	225	950	3785	19	75	1	plymouth fury
-1	6	232	100	2789	15	73	1	amc gremlin
-1	6	232	100	2945	16	73	1	amc hornet
-1	6	232	100	3288	15.5	71	1	amc matador
-1	6	250	105	3459	16	75	1	chevrolet nova
-1	6	250	780	3574	21	76	1	ford granada ghia
-1	6	250	880	3021	16.5	73	1	ford maverick
-1	6	250	880	3139	14.5	71	1	ford mustang
-1	6	258	110	2962	13.5	71	1	amc hornet sportabout (sw)
-1	8	307	130	3504	12	70	1	chevrolet chevelle malibu
-1	8	318	150	3436	11	70	1	plymouth satellite
-1	6	258	120	3410	15.1	78	1	amc concord d/l
-1	8	302	139	3205	11.2	78	1	ford futura
-1	8	318	135	3830	15.2	79	1	dodge st. regis
-1	6	250	110	3645	16.2	76	1	pontiac ventura sj
-1	6	250	980	3525	19	77	1	ford granada
-1	8	360	150	3940	13	79	1	chrysler lebaron town @ country (sw)
-1	6	225	110	3620	18.7	78	1	dodge aspen
-1	3	700	970	2330	13.5	72	3	mazda rx2 coupe
-1	4	120	880	3270	21.9	76	2	peugeot 504
-1	4	121	112	2868	15.5	73	2	volvo 144ea
-1	4	122	850	2310	18.5	73	1	ford pinto
-1	6	156	108	2930	15.5	76	3	toyota mark ii
-1	6	225	100	3630	17.7	77	1	plymouth volare custom
-1	6	225	950	3264	16	75	1	plymouth valiant custom
-1	6	232	100	2634	13	71	1	amc gremlin
-1	6	232	100	2901	16	74	1	amc hornet
-1	6	232	900	3211	17	75	1	amc pacer
-1	6	250	100	3282	15	71	1	pontiac firebird
-1	6	250	880	3302	15.5	71	1	ford torino 500
-1	6	225	900	3381	18.7	80	1	dodge aspen
-1	6	231	105	3535	19.2	78	1	pontiac phoenix lj
-1	8	267	125	3605	15	79	1	chevrolet malibu classic (sw)
-1	8	305	145	3425	13.2	78	1	chevrolet monte carlo landau
-1	6	232	900	3210	17.2	78	1	amc concord
-1	8	318	140	3735	13.2	78	1	dodge diplomat
-1	6	200	850	2990	18.2	79	1	mercury zephyr 6
-1	8	260	110	3365	15.5	78	1	oldsmobile cutlass salon brougham
-1	4	114	910	2582	14	73	2	audi 100ls
-1	4	130	102	3150	15.7	76	2	volvo 245
-1	4	140	900	2408	19.5	72	1	chevrolet vega
-1	4	970	880	2279	19	73	3	toyota carina
-1	6	156	122	2807	13.5	73	3	toyota mark ii
-1	6	198	950	3102	16.5	74	1	plymouth duster
-1	6	225	100	3651	17.7	76	1	dodge aspen se
-1	6	232	100	2914	16	75	1	amc gremlin
-1	8	262	110	3221	13.5	75	1	chevrolet monza 2+2
-1	6	200	850	2965	15.8	78	1	ford fairmont (auto)
-1	6	200	880	3060	17.1	81	1	ford granada gl
-1	6	232	900	3265	18.2	79	1	amc concord dl 6
-1	8	302	139	3570	12.8	78	1	mercury monarch ghia
-1	5	131	103	2830	15.9	78	2	audi 5000
-1	6	200	950	3155	18.2	78	1	chevrolet malibu
-1	6	225	100	3430	17.2	78	1	plymouth volare
-1	6	231	105	3425	16.9	77	1	buick skylark
-1	6	225	110	3360	16.6	79	1	dodge aspen 6
-1	6	231	105	3380	15.8	78	1	buick century special
-1	6	200	850	3070	16.7	78	1	mercury zephyr
-1	4	120	870	2979	19.5	72	2	peugeot 504 (sw)
-1	4	122	860	2226	16.5	72	1	ford pinto runabout
-1	4	140	720	2401	19.5	73	1	chevrolet vega
-1	6	155	107	2472	14	73	1	mercury capri v6
-1	6	199	900	2648	15	70	1	amc gremlin
-1	6	200	850	2587	16	70	1	ford maverick
-1	6	231	110	3039	15	75	1	buick skyhawk
-1	4	134	950	2515	14.8	78	3	toyota celica gt liftback
-1	3	800	110	2720	13.5	77	3	mazda rx-4
-1	4	121	110	2600	12.8	77	2	bmw 320i
-1	6	231	115	3245	15.4	79	1	pontiac lemans v6
-1	4	121	115	2795	15.7	78	2	saab 99gle
-1	4	108	940	2379	16.5	73	3	datsun 610
-1	4	121	760	2511	18	72	2	volkswagen 411 (sw)
-1	4	121	980	2945	14.5	75	2	volvo 244dl
-1	4	122	860	2395	16	72	1	ford pinto (sw)
-1	4	140	720	2408	19	71	1	chevrolet vega (sw)
-1	6	146	970	2815	14.5	77	3	datsun 810
-1	6	198	950	2833	15.5	70	1	plymouth duster
-1	6	225	100	3233	15.4	76	1	plymouth valiant
-1	6	232	112	2835	14.7	82	1	ford granada l
-1	6	250	105	3353	14.5	76	1	chevrolet nova
-1	4	140	880	2890	17.3	79	1	ford fairmont 4
-1	6	231	110	3415	15.8	81	1	buick century
-1	6	232	900	3085	17.6	76	1	amc hornet
1	4	115	950	2694	15	75	2	audi 100ls
1	4	120	880	2957	17	75	2	peugeot 504
1	4	120	970	2506	14.5	72	3	toyota corona mark ii (sw)
1	4	122	860	2220	14	71	1	mercury capri 2000
1	4	140	780	2592	18.5	75	1	pontiac astro
1	4	140	830	2639	17	75	1	ford pinto
1	4	970	540	2254	23.5	72	2	volkswagen type 3
1	6	198	950	2904	16	73	1	plymouth duster
1	8	350	125	3900	17.4	79	1	cadillac eldorado
1	4	156	105	2745	16.7	78	1	plymouth sapporo
1	6	173	110	2725	12.6	81	1	chevrolet citation
1	3	700	100	2420	12.5	80	3	mazda rx-7 gs
1	4	151	850	2855	17.6	78	1	oldsmobile starfire sx
1	4	119	970	2405	14.9	78	3	datsun 200-sx
1	8	260	900	3420	22.2	79	1	oldsmobile cutlass salon brougham
1	4	107	900	2430	14.5	70	2	audi 100 ls
1	4	113	950	2278	15.5	72	3	toyota corona hardtop
1	4	113	950	2372	15	70	3	toyota corona mark ii
1	4	116	750	2158	15.5	73	2	opel manta
1	4	119	970	2545	17	75	3	datsun 710
1	4	120	970	2489	15	74	3	honda civic
1	4	121	110	2660	14	73	2	saab 99le
1	4	134	960	2702	13.5	75	3	toyota corona
1	4	140	920	2865	16.4	82	1	ford fairmont futura
1	4	900	750	2108	15.5	74	2	fiat 128
1	6	200	810	3012	17.6	76	1	ford maverick
1	6	146	120	2930	13.8	81	3	datsun 810 maxima
1	4	151	900	3003	20.1	80	1	amc concord
1	4	151	880	2740	16	77	1	pontiac sunbird coupe
1	4	980	600	2164	22.1	76	1	chevrolet woody
1	4	104	950	2375	17.5	70	2	saab 99e
1	4	110	870	2672	17.5	70	2	peugeot 504
1	4	113	950	2228	14	71	3	toyota corona
1	4	116	810	2220	16.9	76	2	opel 1900
1	4	121	115	2671	13.5	75	2	saab 99le
1	4	140	750	2542	17	74	1	chevrolet vega
1	4	140	920	2572	14.9	76	1	capri ii
1	4	900	710	2223	16.5	75	2	volkswagen dasher
1	4	97.50	800	2126	17	72	1	dodge colt hardtop
1	6	181	110	2945	16.4	82	1	buick century limited
1	4	140	880	2720	15.4	78	1	ford fairmont (man)
1	5	183	770	3530	20.1	79	2	mercedes benz 300d
1	6	168	116	2900	12.6	81	3	toyota cressida
1	4	122	960	2300	15.5	77	1	plymouth arrow gs
1	4	140	890	2755	15.8	77	1	ford mustang ii 2+2
1	4	156	920	2620	14.4	81	1	dodge aries wagon (sw)
1	4	108	930	2391	15.5	74	3	subaru
1	4	116	750	2246	14	74	2	fiat 124 tc
1	4	121	113	2234	12.5	70	2	bmw 2002
1	4	122	800	2451	16.5	74	1	ford pinto
1	4	156	920	2585	14.5	82	1	chrysler lebaron medallion
1	4	790	670	1963	15.5	74	2	volkswagen dasher
1	4	910	700	1955	20.5	71	1	plymouth cricket
1	4	960	690	2189	18	72	2	renault 12 (sw)
1	4	970	460	1835	20.5	70	2	volkswagen 1131 deluxe sedan
1	4	970	460	1950	21	73	2	volkswagen super beetle
1	4	970	750	2265	18.2	77	3	toyota corolla liftback
1	4	970	780	2300	14.5	74	2	opel manta
1	4	980	790	2255	17.7	76	1	dodge colt
1	4	980	900	2265	15.5	73	2	fiat 124 sport coupe
1	4	140	880	2870	18.1	80	1	ford fairmont
1	4	140	720	2565	13.6	76	1	ford pinto
1	4	151	840	2635	16.4	81	1	buick skylark
1	8	350	105	3725	19	81	1	oldsmobile cutlass ls
1	6	173	115	2700	12.9	79	1	oldsmobile omega brougham
1	4	101	830	2202	15.3	76	2	renault 12tl
1	4	112	880	2640	18.6	82	1	chevrolet cavalier wagon
1	4	140	860	2790	15.6	82	1	ford mustang gl
1	4	151	900	2735	18	82	1	pontiac phoenix
1	4	151	900	2950	17.3	82	1	chevrolet camaro
1	4	970	600	1834	19	71	2	volkswagen model 111
1	4	970	880	2100	16.5	72	3	toyota corolla 1600 (sw)
1	4	970	880	2130	14.5	70	3	datsun pl510
1	4	970	880	2130	14.5	71	3	datsun pl510
1	4	119	970	2300	14.7	78	3	datsun 510
1	4	135	840	2490	15.7	81	1	plymouth reliant
1	4	141	710	3190	24.8	79	2	peugeot 504
1	4	121	800	2670	15	79	1	amc spirit dl
1	4	134	950	2560	14.2	78	3	toyota corona
1	4	156	105	2800	14.4	80	1	dodge colt
1	4	107	860	2464	15.5	76	2	fiat 131
1	4	112	880	2605	19.6	82	1	chevrolet cavalier
1	4	116	900	2123	14	71	2	opel 1900
1	4	120	790	2625	18.6	82	1	ford ranger
1	4	140	900	2264	15.5	71	1	chevrolet vega 2300
1	4	151	900	2678	16.5	80	1	chevrolet citation
1	4	900	750	2125	14.5	74	1	dodge colt
1	4	970	750	2155	16.4	76	3	toyota corolla
1	4	970	920	2288	17	72	3	datsun 510 (sw)
1	4	980	800	2164	15	72	1	dodge colt (sw)
1	4	141	800	3230	20.4	81	2	peugeot 505s turbo diesel
1	4	151	900	2670	16	79	1	buick skylark limited
1	6	173	115	2595	11.3	79	1	chevrolet citation
1	4	135	840	2525	16	82	1	dodge aries se
1	4	680	490	1867	19.5	73	2	fiat 128
1	4	850	520	2035	22.2	76	1	chevrolet chevette
1	4	900	700	1937	14	75	2	volkswagen rabbit
1	4	900	700	1937	14.2	76	2	vw rabbit
1	4	970	750	2171	16	75	3	toyota corolla
1	4	970	780	1940	14.5	77	2	volkswagen rabbit custom
1	4	980	830	2219	16.5	74	2	audi fox
1	4	970	710	1825	12.2	76	2	volkswagen rabbit
1	4	980	680	2135	16.6	78	3	honda accord lx
1	4	134	900	2711	15.5	80	3	toyota corona liftback
1	4	890	620	1845	15.3	80	2	vokswagen rabbit
1	4	980	650	2380	20.7	81	1	ford escort 2h
1	4	111	800	2155	14.8	77	1	buick opel isuzu deluxe
1	4	135	840	2385	12.9	81	1	plymouth reliant
1	4	146	670	3250	21.8	80	2	mercedes-benz 240d
1	4	790	700	2074	19.5	71	2	peugeot 304
1	4	880	760	2065	14.5	71	2	fiat 124b
1	4	970	670	1985	16.4	77	3	subaru dl
1	4	980	680	2155	16.5	78	1	chevrolet chevette
1	4	970	780	2190	14.1	77	2	volkswagen dasher
1	4	980	630	2051	17	77	1	chevrolet chevette
1	6	145	760	3160	19.6	81	2	volvo diesel
1	4	105	750	2230	14.5	78	1	dodge omni
1	4	112	850	2575	16.2	82	1	pontiac j2000 se hatchback
1	4	119	820	2720	19.4	82	1	chevy s-10
1	4	710	650	1773	19	71	3	toyota corolla 1200
1	4	760	520	1649	16.5	74	3	toyota corona
1	4	790	670	1950	19	74	3	datsun b210
1	4	790	670	2000	16	74	2	fiat x1.9
1	4	910	680	1970	17.6	82	3	mazda glc custom
1	4	120	750	2542	17.5	80	3	mazda 626
1	4	890	710	1990	14.9	78	2	volkswagen scirocco
1	4	980	680	2045	18.5	77	3	honda accord cvcc
1	4	120	740	2635	18.3	81	3	mazda 626
1	4	850	650	2020	19.2	79	3	datsun 210
1	4	890	710	1925	14	79	2	vw rabbit custom
1	4	135	840	2295	11.6	82	1	dodge rampage
1	4	144	960	2665	13.9	82	3	toyota celica gt
1	4	710	650	1836	21	74	3	toyota corolla 1200
1	4	830	610	2003	19	74	3	datsun 710
1	4	850	700	1990	17	76	3	datsun b-210
1	4	910	670	1965	15.7	82	3	honda civic (auto)
1	4	980	700	2120	15.5	80	1	chevrolet chevette
1	4	108	750	2265	15.2	80	3	toyota corolla
1	4	970	670	2065	17.8	81	3	subaru
1	4	107	720	2290	17	80	3	honda accord
1	4	108	750	2350	16.8	81	3	toyota corolla
1	6	168	132	2910	11.4	80	3	datsun 280-zx
1	4	780	520	1985	19.4	78	3	mazda glc deluxe
1	4	119	100	2615	14.8	81	3	datsun 200sx
1	4	105	740	2190	14.2	81	2	volkswagen jetta
1	4	910	530	1795	17.4	76	3	honda civic
1	4	910	530	1795	17.5	75	3	honda civic cvcc
1	4	151	900	2556	13.2	79	1	pontiac phoenix
1	4	850	700	1945	16.8	77	3	datsun f-10 hatchback
1	4	980	830	2075	15.9	77	1	dodge colt m/m
1	4	107	750	2210	14.4	81	3	honda prelude
1	4	970	670	2145	18	80	3	subaru dl
1	4	108	700	2245	16.9	82	3	toyota corolla
1	4	112	880	2395	18	82	1	chevrolet cavalier 2-door
1	4	860	650	1975	15.2	79	3	maxda glc deluxe
1	4	910	680	1985	16	81	3	mazda glc 4
1	4	105	700	2200	13.2	79	1	plymouth horizon
1	4	970	780	2188	15.8	80	2	audi 4000
1	4	980	650	2045	16.2	81	1	ford escort 4w
1	4	105	700	2150	14.9	79	1	plymouth horizon tc3
1	4	105	630	2215	14.9	81	1	plymouth horizon 4
1	4	122	880	2500	15.1	80	2	triumph tr7 coupe
1	4	720	690	1613	18	71	3	datsun 1200
1	4	810	600	1760	16.1	81	3	honda civic 1300
1	4	980	800	1915	14.4	79	1	dodge colt hatchback custom
1	4	105	740	1980	15.3	82	2	volkswagen rabbit l
1	4	107	750	2205	14.5	82	3	honda accord
1	4	120	880	2160	14.5	82	3	nissan stanza xe
1	4	135	840	2370	13	82	1	dodge charger 2.2
1	4	790	580	1825	18.6	77	2	renault 5 gtl
1	4	980	700	2125	17.3	82	1	mercury lynx l
1	4	910	600	1800	16.4	78	3	honda civic cvcc
1	4	980	660	1800	14.4	78	1	ford fiesta
1	5	121	670	2950	19.9	80	2	audi 5000s (diesel)
1	4	119	920	2434	15	80	3	datsun 510 hatchback
1	4	850	650	1975	19.4	81	3	datsun 210 mpg
1	4	910	680	2025	18.2	82	3	mazda glc custom l
1	4	860	650	2019	16.4	80	3	datsun 310
1	4	910	690	2130	14.7	79	2	fiat strada custom
1	4	890	620	2050	17.3	81	3	toyota tercel
1	4	105	630	2125	14.7	82	1	plymouth horizon miser
1	4	910	670	1965	15	82	3	honda civic
1	4	910	670	1995	16.2	82	3	datsun 310 gx
1	6	262	850	3015	17	82	1	oldsmobile cutlass ciera (diesel)
1	4	890	600	1968	18.8	80	3	toyota corolla tercel
1	4	860	640	1875	16.4	81	1	plymouth champ
1	4	790	580	1755	16.9	81	3	toyota starlet
1	4	850	700	2070	18.6	78	3	datsun b210 gx
1	4	850	650	2110	19.2	80	3	datsun 210
1	4	980	760	2144	14.7	80	2	vw rabbit
1	4	900	480	1985	21.5	78	2	volkswagen rabbit custom diesel
1	4	900	480	2335	23.7	80	2	vw dasher (diesel)
1	4	970	520	2130	24.6	82	2	vw pickup
1	4	900	480	2085	21.7	80	2	vw rabbit c (diesel)
1	4	910	670	1850	13.8	80	3	honda civic 1500 gl
1	4	860	650	2110	17.9	80	3	mazda glc